BioguideID	Courtesy	Title	FirstName	Middle/Nick	LastName	Suffix	Room/Bldg	City	State	Zip+4	State/District	Party
F000464	Mr.	The Honorable	John	J.	Faso		1616 Longworth House Office Building	Washington	DC	20515-3219	NY19	R
F000465	Mr.	The Honorable	A.	Drew	Ferguson	IV	1032 Longworth House Office Building	Washington	DC	20515-1003	GA03	R
F000466	Mr.	The Honorable	Brian	K.	Fitzpatrick		514 Cannon House Office Building	Washington	DC	20515-3808	PA08	R
F000459	Mr.	The Honorable	Charles	"J. ""Chuck"""	Fleischmann		2410 Rayburn House Office Building	Washington	DC	20515-4203	TN03	R
F000461	Mr.	The Honorable	Bill		Flores		2440 Rayburn House Office Building	Washington	DC	20515-4317	TX17	R
F000449	Mr.	The Honorable	Jeff		Fortenberry		1514 Longworth House Office Building	Washington	DC	20515-2701	NE01	R
F000454	Mr.	The Honorable	Bill		Foster		1224 Longworth House Office Building	Washington	DC	20515-1311	IL11	D
F000450	Ms.	The Honorable	Virginia		Foxx		2262 Rayburn House Office Building	Washington	DC	20515-3305	NC05	R
F000462	Ms.	The Honorable	Lois		Frankel		1037 Longworth House Office Building	Washington	DC	20515-0921	FL21	D
F000448	Mr.	The Honorable	Trent		Franks		2435 Rayburn House Office Building	Washington	DC	20515-0308	AZ08	R
F000372	Mr.	The Honorable	Rodney	P.	Frelinghuysen		2306 Rayburn House Office Building	Washington	DC	20515-3011	NJ11	R
F000455	Ms.	The Honorable	Marcia	L.	Fudge		2344 Rayburn House Office Building	Washington	DC	20515-3511	OH11	D
G000571	Ms.	The Honorable	Tulsi		Gabbard		1433 Longworth House Office Building	Washington	DC	20515-1102	HI02	D
G000578	Mr.	The Honorable	Matt		Gaetz		507 Cannon House Office Building	Washington	DC	20515-0901	FL01	R
G000579	Mr.	The Honorable	Mike		Gallagher		1007 Longworth House Office Building	Washington	DC	20515-4908	WI08	R
G000574	Mr.	The Honorable	Ruben		Gallego		1218 Longworth House Office Building	Washington	DC	20515-0307	AZ07	D
G000559	Mr.	The Honorable	John		Garamendi		2438 Rayburn House Office Building	Washington	DC	20515-0503	CA03	D
G000580	Mr.	The Honorable	Thomas	A.	Garrett	Jr.	415 Cannon House Office Building	Washington	DC	20515-4605	VA05	R
G000563	Mr.	The Honorable	Bob		Gibbs		2446 Rayburn House Office Building	Washington	DC	20515-3507	OH07	R
